,State Abbreviation,Total Schools
4,CA,9664.0
40,TX,8981.0
8,FL,4427.0
12,IL,3757.0
32,OH,3288.0
20,MI,3197.0
31,NY,2909.0
35,PA,2882.0
25,NC,2546.0
43,WA,2409.0
28,NJ,2289.0
22,MO,2281.0
9,GA,2281.0
44,WI,2213.0
21,MN,2192.0
41,VA,2031.0
13,IN,1831.0
5,CO,1823.0
17,MA,1792.0
33,OK,1739.0
39,TN,1564.0
15,KY,1507.0
1,AL,1467.0
18,MD,1448.0
3,AZ,1418.0
10,IA,1374.0
6,CT,1305.0
16,LA,1292.0
14,KS,1224.0
34,OR,1216.0
37,SC,1162.0
2,AR,1047.0
23,MS,1020.0
29,NM,799.0
11,ID,691.0
45,WV,670.0
38,SD,666.0
30,NV,664.0
24,MT,512.0
0,AK,480.0
27,NH,442.0
19,ME,423.0
26,ND,401.0
36,RI,292.0
42,VT,268.0
7,DE,205.0
